field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,dip_dir,field_16,field_17,Formation,field_19,corr_dir,Loc_Strike,Loc_Dip
11427bae3a42e0e34fc32798846c3dde,Locality 2,3186d74dda551160694ffb5712562953,708763.3642,4366653.949,39.424154,-114.574702,11S,2957.790527,5,3,Foreset,202,54.00,292.00,11.654,Will-glom,Willard,,285,196,45
11427bae3a42e0e34fc32798846c3dde,Locality 2,10f9058d822b7124000bf24a354fe1e0,709336.4243,4366770.925,39.425068,-114.568014,11S,2802.248291,5,8,Foreset,159,45.00,249.00,11.654,Will-glom,Willard,,253.1,184,32
11427bae3a42e0e34fc32798846c3dde,Locality 2,9c0c39c25b849b8c9f6edb153d084de9,709379.5059,4366795.224,39.425276,-114.567506,11S,2779.206787,10,6,Foreset,154,41.00,244.00,11.654,Will-qtz c,Willard,,248.6,184,32
11427bae3a42e0e34fc32798846c3dde,Locality 2,4d2850e208055372b3b364e6b1c51e5d,709404.2757,4366810.668,39.425409,-114.567214,11S,2782.415771,10,24,Foreset,182,46.00,272.00,11.654,Eg-arkose sst,Egan,,271.1,184,32
11427bae3a42e0e34fc32798846c3dde,Locality 2,5a4a00e0ab922c189a18ee22cf487ec7,709428.4551,4366811.6,39.425412,-114.566933,11S,2763.99585,10,16,Foreset,184,35.00,274.00,11.654,Eg-Slaty saltire,Egan,,273.1,154,26
11427bae3a42e0e34fc32798846c3dde,Locality 2,ce2a067301b7c743a69e01e1d8df90b9,709520.9221,4366813.882,39.42541,-114.565859,11S,2743.432373,5,6,Foreset,187,47.00,277.00,11.654,Eg-Slaty saltire,Egan,,274.8,191,38
11427bae3a42e0e34fc32798846c3dde,Locality 2,78261085e77c874d99446ba2112fab34,709659.8237,4366938.969,39.426502,-114.564207,11S,2764.270996,5,3,Foreset,164,65.00,254.00,11.654,Eg-arkose sst,Egan,,259.6,184,42
11427bae3a42e0e34fc32798846c3dde,Locality 2,f0e239e6993a6770df8934a6a4ca8e6a,709843.9796,4366954.057,39.426593,-114.562065,11S,2714.01416,5,12,Foreset,185,56.00,275.00,11.654,Eg-Slaty saltire,Egan,,272.8,178,38
11427bae3a42e0e34fc32798846c3dde,Locality 2,d567a1a5f38f63ba966708c6c558c304,709914.2609,4366972.433,39.426741,-114.561243,11S,2723.104248,5,6,Foreset,184,42.00,274.00,11.654,Eg-arkose sst,Egan,,272.8,196,20
11427bae3a42e0e34fc32798846c3dde,Locality 2,3f0b76764736c44a90d696e3e200058b,709936.5701,4366961.338,39.426636,-114.560988,11S,2709.785156,5,4,Foreset,166,43.00,256.00,11.654,Eg-arkose sst,Egan,,258.4,196,20
11427bae3a42e0e34fc32798846c3dde,Locality 2,95a01837a1b8b54cc174c5d1e973971e,710004.3606,4366948.205,39.426501,-114.560205,11S,2693.152588,30,32,Foreset,167,45.00,257.00,11.654,Eg-Slaty saltire,Egan,,259.4,166,31
11427bae3a42e0e34fc32798846c3dde,Locality 2,bedc9c455b2535e18bb16f7a4c549b23,710005.272,4366963.89,39.426642,-114.560189,11S,2687.066895,5,6,Foreset,161,50.00,251.00,11.654,Eg-Slaty saltire,Egan,,255.3,166,31
11427bae3a42e0e34fc32798846c3dde,Locality 2,378b471f089aa962c3299004a0f39a2c,710243.8563,4366973.972,39.426675,-114.557417,11S,2644.157715,5,8,Foreset,203,47.00,293.00,11.654,Cocomongo,Cocomongo,,287.1,210,34
11427bae3a42e0e34fc32798846c3dde,Locality 2,99f7eb36ecd2284a294fd9236097fed2,710334.9144,4366894.715,39.425939,-114.556385,11S,2585.179443,5,12,Foreset,215,52.00,305.00,11.654,Cocomongo,Cocomongo,,294.8,200,17
11427bae3a42e0e34fc32798846c3dde,Locality 2,6171809df32dff21ff823391caeba9cb,710660.3158,4359222.289,39.356788,-114.555021,11S,2903.431641,5,6,Foreset,211,45.00,301.00,11.654,Will-qtz c,Willard,,293.7,173,28
11427bae3a42e0e34fc32798846c3dde,Locality 2,8711fdd0302847356718e1d62022ec81,710535.8901,4366718.108,39.4243,-114.554107,11S,2489.957764,5,4,Foreset,166,67.00,256.00,11.654,Salvi,Salvi,,261.1,172,47
11427bae3a42e0e34fc32798846c3dde,Locality 2,cc8d59f95a3979ce3a53f926ca37e084,710783.8041,4359273.886,39.357223,-114.553572,11S,2823.184814,5,3,Foreset,193,54.00,283.00,11.654,Will-qtz c,Willard,,278.6,173,28
f033cab836a09a11bc1c62cc78dd334e,Willie way,d855c2021e49ada5a2511a4036bcb00d,710889.3938,4361000.386,39.37274,-114.551805,11S,2238.7,5,9.5,Paleocurrent,178,46.00,268.00,11.591,Salvi,Salvi,,268,168,28
11427bae3a42e0e34fc32798846c3dde,Locality 2,542d997503d1b060d42584306e356071,710837.6662,4366593.73,39.423107,-114.550644,11S,2408.046387,5,12,Foreset,184,46.00,274.00,11.654,Salvi,Salvi,,272.6,177,29
f033cab836a09a11bc1c62cc78dd334e,Willie way,9866a5cc17b05a451da9a9714104dc20,710997.8058,4361188.46,39.374407,-114.550488,11S,2329.1,5,9.5,Paleocurrent,154,40.00,244.00,11.591,Salvi,Salvi,,248.4,165,16
f033cab836a09a11bc1c62cc78dd334e,Willie way,c678b2f47271f867b11e6a38368bbc84,711000.315,4361164.831,39.374193,-114.550467,11S,2309.7,10,19,Paleocurrent,216,25.00,306.00,11.591,Salvi,Salvi,,302.4,165,16
f033cab836a09a11bc1c62cc78dd334e,Willie way,2bbbac4c2212efe88c8b4538864cae6b,711001.4837,4361190.596,39.374425,-114.550445,11S,2330.5,5,9.5,Paleocurrent,170,38.00,260.00,11.591,Salvi,Salvi,,261.3,165,16
f033cab836a09a11bc1c62cc78dd334e,Willie way,6edc7c2fa757282254de645b9ed63d93,711007.9991,4361178.184,39.374312,-114.550373,11S,2329.5,5,9.5,Paleocurrent,173,41.00,263.00,11.591,Salvi,Salvi,,263.9,165,16
f033cab836a09a11bc1c62cc78dd334e,Willie way,9f8ad253e44095f747646b067574901c,711009.0092,4361178.026,39.37431,-114.550362,11S,2321.4,5,9.5,Paleocurrent,183,44.00,273.00,11.591,Salvi,Salvi,,271.9,165,16
f033cab836a09a11bc1c62cc78dd334e,Willie way,da1e40db10d39d75454211d9e41ef5e4,711013.653,4361165.748,39.374198,-114.550312,11S,2338.6,10,19,Paleocurrent,166,39.00,256.00,11.591,Salvi,Salvi,,258.1,165,16
f033cab836a09a11bc1c62cc78dd334e,Willie way,009f266dbbcb991c777a866c1f4d2ccd,711013.653,4361165.748,39.374198,-114.550312,11S,2338.6,10,19,Paleocurrent,168,38.00,258.00,11.591,Salvi,Salvi,,259.7,165,16
